anio,cancion,artista,generos_artista,popularidad,fecha_lanzamiento
2010,Morir A Tu Lado,Vicentico,"argentine rock, latin rock, rock en español",50,2010
2010,Love X Love,George Benson,"smooth jazz, yacht rock, jazz funk, soul jazz",39,2010-02-09
2010,Sugar Boo,Serani Poji,shibuya-kei,52,2010-03-03
2010,A un minuto de ti,Mikel Erentxun,"rock en español, latin rock",42,2010-12-17
2010,インフレイション II,フレネシ,"shibuya-kei, japanese indie",53,2010
2010,Las consecuencias - Asustar un poco,Bunbury,"rock en español, latin rock, mexican rock",38,2010-02-16
2010,Vital Signs - Tame Impala Cover,Midnight Juggernauts,"new rave, electroclash, alternative dance",49,2010-05-28
2010,It's My Life,Bon Jovi,"glam metal, rock",48,2010-10-29
2010,Ángel Para Un Final,Los Bunkers,"latin rock, rock en español, latin alternative",58,2010-01-01
2010,Umbrella,The Baseballs,"rockabilly, dansband, boogie-woogie",39,2010-08-27
2010,Donde vamos,Mancha De Rolando,argentine rock,39,2010-12-29
2010,Goodbye,My Darkest Days,,51,2010-01-01
2010,Black Hole Sun,Soundgarden,"grunge, post-grunge, hard rock",51,2010-09-28
2010,Whiskey and Gin,The Killigans,"celtic punk, celtic rock, celtic, folk punk",42,2010-01-16
2010,Have A Nice Day,Bon Jovi,"glam metal, rock",41,2010-11-09
2010,Rococo,Arcade Fire,"indie rock, baroque pop",42,2010-07-01
2010,Spring Lovers,Minuano,"shibuya-kei, japanese indie, bossa nova",49,2010-04-21
2010,Hustle and Cuss,The Dead Weather,"garage rock, southern gothic, blues rock, modern blues",44,2010-05-11
2010,Have a Drink on Me,AC/DC,"rock, hard rock, classic rock, rock and roll",45,2010-04-29
2010,Nobody's Home,ONE OK ROCK,"j-rock, j-pop",48,2010-06-09
2010,Good Day To Die,Godsmack,"alternative metal, nu metal, hard rock, rap metal, metal",50,2010-01-01
2010,Silencio,Los Tipitos,argentine rock,37,2010-12-06
2010,We Used to Wait,Arcade Fire,"indie rock, baroque pop",43,2010-08-02
2010,Que Estés Sonriendo,Las Pelotas,"argentine rock, rock en español",43,2010-11-09
2010,Se te nota,Los Tipitos,argentine rock,47,2010-11-11
2010,I Don't Really Mind,Tame Impala,"neo-psychedelic, indie",49,2010-05-21
2010,The Mob Goes Wild,Clutch,"stoner rock, stoner metal, sludge metal",45,2010
2010,Motor Runnin',The Jompson Brothers,"southern rock, country rock, outlaw country, country blues",49,2010-11-30
2010,Sextape,Deftones,"nu metal, alternative metal, rap metal, shoegaze, rock",52,2010-04-30
2010,Lithium,Labyrinth Ear,"witch house, darkwave, cold wave",47,2010-03-08
2010,Suicide of the 21st century,0.8Syooogeki,"visual kei, j-rock, shibuya-kei",48,2010-08-04
2010,Back from Cali (feat. Myles Kennedy),Slash,hard rock,36,2010-04-02
2010,Mujer Amante - Unplugged,Carlos Alberto,"seresta, argentine rock",35,2010
2010,I Killed Robert Johnson,The Stone Foxes,"blues rock, modern blues",42,2010-07-06
2010,By the Sword (feat. Andrew Stockdale or Wolfmother),Slash,hard rock,36,2010-04-02
2010,Doctor Alibi (feat. Lemmy Kilmister),Slash,hard rock,35,2010-04-02
2010,Petalos,Tan Bionica,argentine rock,49,2010-01-01
2010,Black Rain,Soundgarden,"grunge, post-grunge, hard rock",47,2010-09-28
2010,Surf City,Jan & Dean,"surf rock, doo-wop",46,2010-01-01
2010,Godzilla,Fu Manchu,"stoner rock, stoner metal, sludge metal, doom metal, space rock",43,2010-08-14
2010,Memories,Weezer,alternative rock,47,2010-09-14
2010,Mi Recinto,Banda Show 24 de Mayo de Patate,"chicha, electrocumbia, cumbia",34,2010-09-01
2010,"Gold - 12"" Mix",Spandau Ballet,"new wave, synthpop",33,2010-05-17
2010,Slip to the Void,Alter Bridge,"post-grunge, alternative metal, hard rock",41,2010-10-08
2010,Lobo Hombre En Paris,The Mills,"rock en español, colombian pop, latin rock",43,2010-09-01
2010,El oficio de ser mamá,Pablo Granados,rock en español,41,2010-03-01
2010,Our Darkness - Remix,Anne Clark,"new wave, ebm, darkwave, cold wave, synthpop",33,2010-01-01
2010,Liar,ONE OK ROCK,"j-rock, j-pop",45,2010-06-09
2010,To The Sea,Jack Johnson,surf rock,44,2010-01-01
2010,Sigamos Caminando,Don Tetto,"colombian pop, rock en español, latin rock",46,2010-07-06
2010,Save Me,My Darkest Days,,51,2010-01-01
2010,Dominguicidio,Tan Bionica,argentine rock,49,2010-01-01
2010,One Last Soul,Black Country Communion,"blues rock, modern blues, hard rock",39,2010-09-21
2010,Life Must Go On,Alter Bridge,"post-grunge, alternative metal, hard rock",41,2010-10-08
2010,Ghost of Days Gone By,Alter Bridge,"post-grunge, alternative metal, hard rock",42,2010-10-08
2010,Can't Fight This Feeling,REO Speedwagon,"soft rock, aor, classic rock",43,2010-03-01
2010,Acima do Sol - Ao Vivo,Skank,"brazilian rock, mpb, brazilian pop, pop rock",63,2010-09-15
2010,Wonderwall,Oasis,"britpop, madchester",60,2010-06-14
2010,Never Let Me Down Again - Live In Barcelona,Depeche Mode,"new wave, synthpop, darkwave",35,2010-11-05
2010,Falling In,Lifehouse,post-grunge,49,2010-01-01
2010,Set It On Fire,My Darkest Days,,51,2010-01-01
2010,Jibun ROCK,ONE OK ROCK,"j-rock, j-pop",45,2010-06-09
2010,Enjoy a Paranoia,The Dolly Rocker Movement,"neo-psychedelic, psychedelic rock, space rock, stoner rock",41,2010-02-22
2010,You Give Love A Bad Name,Bon Jovi,"glam metal, rock",44,2010-10-29
2010,SLY,Scorpions,"hard rock, glam metal, rock",37,2010-03-22
2010,Ballroom Blitz,Sweet,glam rock,45,2010-05-01
2010,Rocking Chair,Eric Clapton,"blues, blues rock, classic rock",33,2010-09-27
2010,Answer to Yourself,The Soft Pack,garage rock,44,2010-01-01
2010,Poison - Single Version,Alice Cooper,"glam rock, hard rock, glam metal, proto-punk, classic rock",42,2010-03-01
2010,Summer Nights,Iration,"reggae rock, reggae, roots reggae",59,2010-08-31
2010,Empty Room,Arcade Fire,"indie rock, baroque pop",39,2010-07-01
2010,Blue Blood Blues,The Dead Weather,"garage rock, southern gothic, blues rock, modern blues",43,2010-05-11
2010,Beg Beg Beg,H.E.A.T,"aor, arena rock, hard rock, glam metal, glam rock",30,2010
2010,Like A Rolling Stone - Live At Monterey,Jimi Hendrix,"psychedelic rock, classic rock, acid rock, blues rock",41,2010-01-01
2010,Bossa Nova Baby (Viva Elvis),Elvis Presley,"rockabilly, rock and roll",37,2010-11-11
