Uri,Nombre_Cancion_o_Album,Artista,Genero_Musical_Seed,Cancion_o_Album_Tipo,Año_Lanzamiento
spotify:track:00O5qC8qCtum4UbtvyZOfN,Adicto,Paco Cifuentes,indie,track,2010
spotify:track:3zf1mZtT7AKf7HPkT5qLIY,Let It Go,Alex G,indie,track,2010
spotify:track:5aEa8CyqRQPGrHC1KIUz8L,Será,Vicky Gastelo,indie,track,2010
spotify:track:5Y1yj1ltsWYdEEHweqfMVx,Se Ha Enredado En Tu Cabello,Ismael Serrano,indie,track,2010
spotify:track:0ZiElCruuvKgiOaX5x0WmO,Don't Fall In Love,Still Corners,indie,track,2010
spotify:track:2EJfQ00wHMRUl7F0jICMB1,You Are Not Stubborn,Two Door Cinema Club,indie,track,2010
spotify:track:0TOTOGNQmJrN9BhbRfLccV,Ley de imposibilidad del fenómeno,Miss Caffeina,indie,track,2010
spotify:track:3HwI9tX1NW3qkFY7wkLd4Z,Cómo Iba Yo a Saber,Rafael Berrio,indie,track,2010
spotify:track:1JPOZzPzvTzVoHixqI8pWs,Where is the love ?,Electro Deluxe,indie,track,2010
spotify:track:5s1Wpa0fv4wQVpfsuwDEAC,I Won't Be Found,The Tallest Man On Earth,indie,track,2010
spotify:track:6oGnpoAU5vsRL3F4zcFJJ8,Que No Se Acabe la Noche,Mr. Kilombo,indie,track,2010
spotify:track:247z4VfuNBpdFy62QgSULi,Será Mejor,Mr. Kilombo,indie,track,2010
spotify:track:3KX0CbXVvEb81gL0LIanR4,Empty Room,Arcade Fire,indie,track,2010
spotify:track:48HHmBGOItVHmuFbTx7csG,House,Alex G,indie,track,2010
spotify:track:3B7wgtlmTXGfAiMRnq1NmS,fuwarin,Ichiko Aoba,indie,track,2010
spotify:track:27v2g1E6L8PviA51pze7gk,We Don't Eat - Acoustic Version,James Vincent McMorrow,indie,track,2010
spotify:track:2CDwlYqBIm9X3G8OEFvCbu,Down The Drain,Lilly Wood and The Prick,indie,track,2010
spotify:track:0Qy0PG9ll60YTxPsJkJ1x0,Words,Gregory Alan Isakov,indie,track,2010
spotify:track:60bsvlCZMWaOYraPbg8cqy,History of Modern (Part I),Orchestral Manoeuvres In The Dark,indie,track,2010
